Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Apr 2026,07 Apr 2026,MEMBERSHIP FEE INSTALLMENT,15.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999856990'
06 Apr 2026,06 Apr 2026,2403384 ONTARIO LIMITED CALEDON,13.78,,,,,2403384 ONTARIO LIMITED CALEDON,"267 QUEEN ST WEST GROUND
FL","TORONTO
ON",M5V 1Z4,CANADA,'AT260960006000010646321'
06 Apr 2026,07 Apr 2026,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,30.50,,,,,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260970006000010693348'
05 Apr 2026,06 Apr 2026,ARISTOS SOUVLAKI & GYR  TORONTO,15.26,,,,,ARISTOS SOUVLAKI & GYR  TORONTO,265 QUEEN ST WEST,"TORONTO
ON",M5V 1Z4,CANADA,'AT260960006000010616101'
05 Apr 2026,07 Apr 2026,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT260970006000010693132'
04 Apr 2026,04 Apr 2026,LS MEATY EATS           TORONTO,4.25,,,,,LS MEATY EATS           TORONTO,2288 BLOOR ST WEST,"TORONTO
ON",M6S 1N9,CANADA,'AT260940006000010728353'
04 Apr 2026,04 Apr 2026,LS MEATY EATS           TORONTO,42.55,,,,,LS MEATY EATS           TORONTO,2288 BLOOR ST WEST,"TORONTO
ON",M6S 1N9,CANADA,'AT260940006000010767715'
04 Apr 2026,05 Apr 2026,SHELBY'S                BRAMPTON,17.49,,,,,SHELBY'S                BRAMPTON,27 MASKEN CIR,"BRAMPTON
ON",L7A 4K3,CANADA,'AT260950006000010825664'
03 Apr 2026,04 Apr 2026,PETRO-CANADA 00829      TORONTO,90.89,,,,,PETRO-CANADA 00829      TORONTO,1750 BLOOR ST WEST,"TORONTO
ON",M6P 1B3,CANADA,'AT260940006000010751993'
03 Apr 2026,04 Apr 2026,SHUYI TEALICIOUS (394   NORTH YORK,7.86,,,,,SHUYI TEALICIOUS (394   NORTH YORK,18 GREENBRIAR RD UN8,"NORTH YORK
ON",M2K 0G7,CANADA,'AT260940006000010743046'
